Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Avg Monthly GB Streaming Movies,Avg Monthly GB Streaming Music,Avg Monthly GB Streaming TV,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Label,Churn Score,Churn Category,Churn Reason
8779-QRDMV,Male,78.0,No,no,0.0,United States,California,los angeles,90022.0,34.02381,-118.156582,68701.0,Q3,No,0.0,1.0,None,NO,0.0,No,DSL,8.0,No,No,Yes,No,no,Yes,no,0,2,0,NO,Month-to-Month,yes,Bank Withdrawal,39.65,39.65,0.0,20.0,0.0,59.65,churned,yes,91.0,Competitor,Competitor offered more data
7495-OOKFY,female,74.0,yes,yes,1.0,UNITED STATES,California,Los Angeles,90063.0,34.044271,-118.185237,55668.0,Q3,YES,1.0,8.0,Offer E,Yes,48.85,yes,fiber optic,17.0,NO,YES,NO,no,NO,No,No,0,0,0,Yes,Month-to-Month,yes,credit card,80.65,633.3,0.0,0.0,390.8,1024.1,Churned,Yes,69.0,Competitor,Competitor made better offer
1658-bygoy,male,71.0,NO,yes,3.0,United States,california,Los Angeles,90065.0,34.108833,-118.229715,47534.0,Q3,No,0.0,18.0,Offer D,Yes,11.33,Yes,FIBER OPTIC,52.0,No,No,No,No,yes,Yes,Yes,0,0,2,Yes,Month-to-Month,Yes,bank withdrawal,95.45,8739.55,45.61,0.0,203.94,1910.88,Churned,Yes,81.0,Competitor,Competitor made better offer
4598-XLKNJ,Female,78.0,yes,Yes,1.0,UNITED STATES,California,Inglewood,90303.0,33.936291,-118.332639,27778.0,Q3,Yes,1.0,25.0,offer c,Yes,19.76,No,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,No,2,0,0,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0.0,494.00000000000006,2995.07,Churned,yes,88.0,Dissatisfaction,Limited range of services
4846-WHAFZ,Female,80.0,YES,YES,1.0,United States,California,WHITTIER,,33.972119,-118.020188,26265.0,q3,YES,1.0,37.0,Offer C,Yes,6.33,Yes,Fiber Optic,14.0,no,No,NO,No,no,no,No,0,0,0,YES,Month-to-Month,yes,BANK WITHDRAWAL,76.5,2868.15,0.0,0.0,234.21,3102.36,Churned,Yes,67.0,Price,Extra data charges
4412-YLTKF,Female,72.0,no,yes,1.0,united states,California,Pico Rivera,90660.0,33.989524,-118.089299,63288.0,q3,No,0.0,27.0,Offer C,YES,3.33,Yes,fiber optic,18.0,NO,No,Yes,no,NO,No,no,2,0,0,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10.0,89.91,2235.41,Churned,Yes,95.0,Competitor,Competitor had better devices
0390-DCFDQ,Female,76.0,YES,Yes,2.0,united states,California,los alamitos,90720.0,33.79499,-118.065591,21343.0,Q3,Yes,1.0,1.0,OFFER E,Yes,15.28,no,Fiber Optic,30.0,No,no,No,No,No,no,No,0,0,0,Yes,MONTH-TO-MONTH,Yes,Mailed Check,70.45,70.45,0.0,0.0,15.28,85.73,Churned,yes,76.0,Other,Don't know
3445-HXXGF,Male,66.0,Yes,No,,UNITED STATES,California,SIERRA MADRE,91024.0,34.168686,-118.057505,10558.0,Q3,Yes,6.0,58.0,offer b,no,0.0,No,DSL,24.0,No,Yes,Yes,NO,No,Yes,no,0,3,0,Yes,month-to-month,YES,bank withdrawal,45.3,2651.2,40.95,0.0,0.0,2610.25,Churned,Yes,91.0,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,Female,70.0,No,Yes,2.0,United States,California,Pasadena,91106.0,34.139402,-118.128658,23742.0,Q3,No,0.0,15.0,offer d,Yes,44.07,Yes,fiber optic,19.0,No,no,No,No,No,NO,No,0,3,0,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0.0,661.05,1806.75,Churned,Yes,91.0,Dissatisfaction,Limited range of services
2070-FNEXE,Female,77.0,NO,Yes,2.0,UNITED STATES,California,Pasadena,91107.0,34.159007,-118.087353,32369.0,Q3,no,0.0,7.0,Offer E,Yes,26.95,No,Fiber Optic,18.0,Yes,NO,No,No,No,No,no,0,0,1,No,month-to-month,No,Bank Withdrawal,76.45,503.6,11.05,0.0,188.65,681.2,CHURNED,Yes,81.0,Price,Lack of affordable download/upload speed
0094-oifmo,female,78.0,No,Yes,1.0,United States,california,North Hollywood,91605.0,34.207295,-118.400022,57146.0,Q3,NO,0.0,11.0,Offer D,Yes,11.59,No,fiber optic,29.0,no,Yes,No,No,Yes,yes,no,2,2,0,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120.0,127.49,1367.79,churned,yes,85.0,Dissatisfaction,Product dissatisfaction
